country_iso3,year,country_name,plan_name,people_in_need_k,people_targeted_k,total_population,requirements_usd_m,funding_usd_m,pin_normalized,funding_gap,media_score,oci_raw,oci_score,oci_rank,has_funding_data
SDN,2026,Sudan,Sudan Humanitarian Needs and Response Plan 2026,33699.77,20419.163,47514529,2866.228594,373.134224,0.7092519006133893,0.869817004553964,0.8271604938271605,0.7189776287660029,0.8371,4,True
SDN,2025,Sudan,Sudan Humanitarian Needs and Response Plan 2025,30440.77,20934.77,47514529,4162.518656,1630.357837,0.64066235403491,0.6083241970219292,0.8271604938271605,0.4542043321036537,0.5214,9,True
COD,2024,DR Congo,République Démocratique du Congo Plan de Réponse Humanitaire 2024,25397.896,8702.185,103199358,2580.627746,1322.477382,0.24610517441397262,0.4875365561538839,0.9506172839506173,0.14279728332686834,0.1502,48,True
SDN,2024,Sudan,Sudan Humanitarian Needs and Response Plan 2024,24786.37,14657.114,47514529,2695.680744,1906.845972,0.5216587541044551,0.2926291526753585,0.8271604938271605,0.17790619244951944,0.192,37,True
AFG,2024,Afghanistan,Afghanistan Humanitarian Needs and Response Plan 2024,23666.389,17327.995,40411869,3059.587797,1583.509454,0.5856296574652363,0.4824435319186887,0.6790123456790123,0.3209019519954958,0.3625,19,True
YEM,2026,Yemen,Yemen Humanitarian Needs and Response Plan 2026,23100.0,10500.0,34449825,2470.0,171.825147,0.670540416388182,0.9304351631578948,0.9012345679012346,0.7363494184322869,0.8578,2,True
AFG,2025,Afghanistan,Afghanistan Humanitarian Needs and Response Plan 2025,22887.726,16790.412,40411869,2416.811546,1006.69856,0.5663614815736436,0.5834600502194058,0.6790123456790123,0.37532512913924887,0.4274,14,True
ETH,2024,Ethiopia,Ethiopia Humanitarian Response Plan 2024,21360.484,15467.955,102536651,3235.782784,1004.07926,0.2083204765484295,0.6896950979018497,0.8024691358024691,0.1667369812098115,0.1787,42,True
COD,2025,DR Congo,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2025,21241.767,10988.449,103199358,2538.016151,669.859519,0.20583235605012193,0.7360696389831602,0.9506172839506173,0.18031197269203378,0.1949,35,True
YEM,2025,Yemen,Yemen Humanitarian Needs and Response Plan 2025,19540.217,10527.03,34449825,2478.772922,705.928116,0.5672080191989364,0.7152106553469927,0.9012345679012346,0.4787945647995678,0.5508,8,True
MMR,2024,Myanmar,Myanmar Humanitarian Needs and Response Plan 2024,18590.021,5343.351,54179306,993.548103,402.441771,0.3431203234681522,0.5949448549246539,0.8765432098765432,0.2399247689582988,0.266,30,True
YEM,2024,Yemen,Yemen Humanitarian Response Plan 2024,18182.658,11233.519,34449825,2705.762394,1527.53352,0.5278011717040653,0.43545171468592747,0.9012345679012346,0.2712584203970107,0.3033,26,True
SYR,2024,Syria,Syrian Arab Republic Humanitarian Response Plan 2024,16661.471,10752.647,23227014,4074.15871,1483.222683,0.7173315950126005,0.6359438135388693,0.37037037037037035,0.4899738930749168,0.5641,7,True
SYR,2026,Syria,Syrian Arab Republic Humanitarian Response Priorities 2026,16500.0,10300.0,23227014,3190.0,161.798281,0.71037973284039,0.9492795357366771,0.37037037037037035,0.7243007165420975,0.8435,3,True
MMR,2026,Myanmar,Myanmar Humanitarian Needs and Response Plan 2026,16229.05,4868.096,54179306,889.600798,62.180097,0.2995433348666371,0.9301033709279564,0.8765432098765432,0.32744835154880825,0.3703,16,True
COD,2026,DR Congo,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,14940.727,7313.763,103199358,1403.721718,144.542755,0.14477538707169088,0.8970289102558432,0.9506172839506173,0.1545586052095092,0.1642,44,True
UKR,2024,Ukraine,Ukraine Humanitarian Needs and Response Plan 2024,14622.301,8480.502,37000000,3107.702931,2395.701306,0.3951973243243243,0.22910865060415908,0.0,0.09054312569832015,0.0879,56,True
UKR,2025,Ukraine,Ukraine Humanitarian Needs and Response Plan 2025,12708.866,6016.366,37000000,2633.53401,1532.252401,0.34348286486486485,0.41817633826570555,0.0,0.14363640668620334,0.1512,46,True
UKR,2026,Ukraine,Ukraine Humanitarian Needs and Response Plan 2026,10849.697,4118.954,37000000,2303.961975,310.089453,0.29323505405405403,0.8654103425469946,0.0,0.25376864857570536,0.2825,28,True
SSD,2026,South Sudan,South Sudan Humanitarian Needs and Response Plan 2026,9913.863,4343.435,12394970,1463.046056,153.429173,0.7998295276228986,0.8951303191237338,0.9753086419753086,0.8556064286122087,1.0,1,True
SSD,2025,South Sudan,South Sudan Humanitarian Needs and Response Plan 2025,9290.088,5386.982,12394970,1694.778653,713.321164,0.749504678107329,0.5791065914493791,0.9753086419753086,0.5187082965837633,0.5983,6,True
